#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
NL0015000EB9;11-12-2025;;NL0015000EB9;FR;EWCSN;Euronext World Country selection NR;XPAR;;5596.15;5559.4;5559.40442641;;;;;NL0015000E91;;;;.06328762098358;CA87971M1032 GB0002318888 GB0006731235 GB00B17BBQ50 US40434L1052 US8168511090;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000EA1;11-12-2025;;NL0015000EA1;FR;EVEWG;Euronext ESG World-Select 75 Bund/SV GR;XPAR;;6585.35;6583.43;6583.42598333;;;;;NL0015000ED5;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000BX9;11-12-2025;;NL0015000BX9;FR;ETE5P;EN Transatlantic Environment 50;XPAR;387852732.101441;5781.30;5785.64;5785.63506827;2243974368170.6195362;50;EUR;1;;NL0015000BV3;NL0015000BQ3;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NL0015000BW1;11-12-2025;;NL0015000BW1;FR;ETE5D;EN Transatlantic Environment 50 D5%;XPAR;;3492.81;3494.95;3494.94920698;;;;;NL0015000BQ3;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
NL0015000BV3;11-12-2025;;NL0015000BV3;FR;ETE5G;EN Transatlantic Environment 50 GR;XPAR;;8622.43;8628.9;8628.90134938;;;;;NL0015000BX9;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000BQ3;11-12-2025;;NL0015000BQ3;FR;ETEGN;EN Transatlantic Environment 50 NR;XPAR;;7752.73;7758.55;7758.54914381;;;;;NL0015000BX9;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NL0015000A95;11-12-2025;;NL0015000A95;FR;EUED5;Euronext US ESGL 20 EW Decrement 5%;XPAR;;1655.31;1660.78;1660.77734134;;;;;NL0015000A79;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
NL0015000A87;11-12-2025;;NL0015000A87;FR;EUEGR;Euronext US ESGL 20 EW GR;XPAR;;5169.03;5186.82;5186.82024083;;;;;NL0015000A61;;;0;;;WM ;TR1;Indices;;;;;0;;CALCULATED
NL0015000A79;11-12-2025;;NL0015000A79;FR;EUENR;Euronext US ESGL 20 EW NR;XPAR;;4490.11;4505.56;4505.5649071;;;;;NL0015000A61;;;;0;;WM ;TR1;Indices;;;;;0;;CALCULATED
NL0015000A61;11-12-2025;;NL0015000A61;FR;EUEPR;Euronext US ESGL 20 EW;XPAR;1018560.60044703;3200.06;3211.07;3211.0673384;3270666676.28;20;USD;1;;NL0015000A87;NL0015000A79;;;;WM ;EU Price;Indices;;;;;0;;CALCULATED
NL0013941016;11-12-2025;;NL0013941016;FR;WLESG;EN CDP Environment ESG World EW D5%;XPAR;;1793.61;1790.13;1790.12560448;;;;;NL0013940992;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
