#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
FR0000131104;06-05-2025;;FR0000131104;FR;BNP;BNP PARIBAS ACT.A;XPAR;30101010;76.36;76.36000000;0;0;SGB5P;100;1;1;EUR;1;1.00000000;7636;100;;;;;0;0;;
FR0000131104;06-05-2025;;FR0000131104;FR;BNP;BNP PARIBAS ACT.A;XPAR;30101010;76.36;76.36000000;0;0;SGB4P;100;1;1;EUR;1;1.00000000;7636;100;;;;;0;0;;
FR0000130809;06-05-2025;;FR0000130809;FR;GLE;SOCIETE GENERALE;XPAR;30101010;46.45;46.45000000;0;0;SGG2P;100;1;1;EUR;1;1.00000000;4645;100;;;;;0;0;;
FR0000120578;06-05-2025;;FR0000120578;FR;SAN;SANOFI;XPAR;20103015;96;96.00000000;0;0;SGSAP;100;1;1;EUR;1;1.00000000;9600;100;;;;;0;0;;
FR0010208488;06-05-2025;;FR0010208488;FR;ENGI;ENGIE;XPAR;65102000;18.145;18.14500000;0;0;SGEP3;100;1;1;EUR;1;1.00000000;1814.5;100;;;;;0;0;;
FR0010208488;06-05-2025;;FR0010208488;FR;ENGI;ENGIE;XPAR;65102000;18.145;18.14500000;0;0;SGEP2;100;1;1;EUR;1;1.00000000;1814.5;100;;;;;0;0;;
FR0000124141;06-05-2025;;FR0000124141;FR;VIE;VEOLIA ENVIRON.;XPAR;65102030;32.19;32.19000000;0;0;SGVIP;100;1;1;EUR;1;1.00000000;3219;100;;;;;0;0;;
FR0000121485;06-05-2025;;FR0000121485;FR;KER;KERING;XPAR;40204020;176.14;176.14000000;0;0;SGKEP;100;1;1;EUR;1;1.00000000;17614;100;;;;;0;0;;
FR0013326246;06-05-2025;;FR0013326246;FR;URW;UNIBAIL-RODAMCO-WE;XPAR;35102045;76.68;76.68000000;0;0;SGU1P;100;1;1;EUR;1;1.00000000;7668;100;;;;;0;0;;
FR001400AJ45;06-05-2025;;FR001400AJ45;FR;ML;MICHELIN;XPAR;40101015;32.66;32.66000000;0;0;SMMLP;100;1;1;EUR;1;1.00000000;3266;100;;;;;0;0;;
FR0000125007;06-05-2025;;FR0000125007;FR;SGO;SAINT GOBAIN;XPAR;50101035;98.06;98.06000000;0;0;SMSGP;100;1;1;EUR;1;1.00000000;9806;100;;;;;0;0;;
FR0000125007;06-05-2025;;FR0000125007;FR;SGO;SAINT GOBAIN;XPAR;50101035;98.06;98.06000000;0;0;SGSP1;100;1;1;EUR;1;1.00000000;9806;100;;;;;0;0;;
FR0010208488;06-05-2025;;FR0010208488;FR;ENGI;ENGIE;XPAR;65102000;18.145;18.14500000;0;0;SMEP1;100;1;1;EUR;1;1.00000000;1814.5;100;;;;;0;0;;
FR0000131104;06-05-2025;;FR0000131104;FR;BNP;BNP PARIBAS ACT.A;XPAR;30101010;76.36;76.36000000;0;0;SGBP3;100;1;1;EUR;1;1.00000000;7636;100;;;;;0;0;;
